"waterYear","month","deposition_name","deposition_kg_per_ha_impute"
2002,"June","NO3-N",0.06591385598
2002,"June","SO4-S",0.001353312
2002,"June","cations",0.0011938
2003,"August","Inorganic N",0.3397031687
2003,"August","NH4-N",0.152459055
2003,"August","NO3-N",0.187251848
2003,"August","SO4-S",0.13025628
2003,"August","cations",0.1445641
2003,"July","Inorganic N",0.431756325
2003,"July","NH4-N",0.2357522881791
2003,"July","NO3-N",0.196094562882
2003,"July","SO4-S",0.12839814
2003,"July","cations",0.127944
2003,"June","Inorganic N",0.28230086796
2003,"June","NH4-N",0.13883080816206
2003,"June","NO3-N",0.143385548128
2003,"June","SO4-S",0.1411462125
2003,"June","cations",0.24457025
2004,"August","Inorganic N",0.16939381412
2004,"August","NH4-N",0.07437324525372
2004,"August","NO3-N",0.0944493499376
2004,"August","SO4-S",0.0678855132
2004,"August","cations",0.07151878
2004,"July","Inorganic N",0.41441748968
2004,"July","NH4-N",0.1888123986
2004,"July","NO3-N",0.2256092008
2004,"July","SO4-S",0.1393234704
2004,"July","cations",0.14610334
2004,"June","Inorganic N",0.42542992744
2004,"June","NH4-N",0.1601681378892
2004,"June","NO3-N",0.264932503816
2004,"June","SO4-S",0.2210760138
2004,"June","cations",0.3978857
2005,"August","Inorganic N",0.2701733822
2005,"August","NH4-N",0.1113550557
2005,"August","NO3-N",0.1588426988
2005,"August","SO4-S",0.1188915894
2005,"August","cations",0.1132029
2005,"July","Inorganic N",0.6197999923
2005,"July","NH4-N",0.3444390495
2005,"July","NO3-N",0.27525218
2005,"July","SO4-S",0.2559528576
2005,"July","cations",0.3840005
2005,"June","Inorganic N",0.2434250529
2005,"June","NH4-N",0.0863638608
2005,"June","NO3-N",0.1571090076
2005,"June","SO4-S",0.1555293816
2005,"June","cations",0.1627378
2006,"August","Inorganic N",0.2567862509
2006,"August","NH4-N",0.09576784518
2006,"August","NO3-N",0.16106058596
2006,"August","SO4-S",0.09967203486
2006,"August","cations",0.1125745
2006,"July","Inorganic N",0.3266729605
2006,"July","NH4-N",0.1605735656112
2006,"July","NO3-N",0.16547899444
2006,"July","SO4-S",0.1094396175
2006,"July","cations",0.1713917
2006,"June","Inorganic N",0.1715739944
2006,"June","NH4-N",0.0820009612002
2006,"June","NO3-N",0.0894147658368
2006,"June","SO4-S",0.03978568116
2006,"June","cations",0.04802632
2007,"August","Inorganic N",0.50600010814
2007,"August","NH4-N",0.26752468974
2007,"August","NO3-N",0.23841086684
2007,"August","SO4-S",0.13867472646
2007,"August","cations",0.16299942
2007,"July","Inorganic N",0.25599943974
2007,"July","NH4-N",0.1408310768844
2007,"July","NO3-N",0.114948295376
2007,"July","SO4-S",0.07990376958
2007,"July","cations",0.1385443
2007,"June","Inorganic N",0.15754476238
2007,"June","NH4-N",0.07559004416124
2007,"June","NO3-N",0.0813036445044
2007,"June","SO4-S",0
2007,"June","cations",0
2008,"August","Inorganic N",0.25355404966
2008,"August","NH4-N",0.10971053460948
2008,"August","NO3-N",0.1439203123112
2008,"August","SO4-S",0.12989003994
2008,"August","cations",0.1409827
2008,"July","Inorganic N",0.3139407234
2008,"July","NH4-N",0.17455481854524
2008,"July","NO3-N",0.1391734090796
2008,"July","SO4-S",0.07535325798
2008,"July","cations",0.12102846
2008,"June","Inorganic N",0.12289582228
2008,"June","NH4-N",0.0504248604531
2008,"June","NO3-N",0.0726273858092
2008,"June","SO4-S",0.0394828776
2008,"June","cations",0.1292352
2009,"August","Inorganic N",0.15951855193
2009,"August","NH4-N",0.078762787651275
2009,"August","NO3-N",0.0804145871385
2009,"August","SO4-S",0.07504833987
2009,"August","cations",0.09076055
2009,"July","Inorganic N",0.25421069808
2009,"July","NH4-N",0.1248519568107
2009,"July","NO3-N",0.129451674294
2009,"July","SO4-S",0.10836772713
2009,"July","cations",0.12291822
2009,"June","Inorganic N",0.25760691684
2009,"June","NH4-N",0.10739728965
2009,"June","NO3-N",0.15023086032
2009,"June","SO4-S",0.14556435327
2009,"June","cations",0.24526621
2010,"August","Inorganic N",0.32857040966
2010,"August","NH4-N",0.15154331388
2010,"August","NO3-N",0.17702704752
2010,"August","SO4-S",0.11776478733
2010,"August","cations",0.10952734
2010,"July","Inorganic N",0.30780191932
2010,"July","NH4-N",0.14805994518
2010,"July","NO3-N",0.15973064828
2010,"July","SO4-S",0.11535039414
2010,"July","cations",0.24411686
2010,"June","Inorganic N",0.14699766384
2010,"June","NH4-N",0.07751844891504
2010,"June","NO3-N",0.0697252864064
2010,"June","SO4-S",0.05537076048
2010,"June","cations",0.160440793333333
2011,"August","Inorganic N",0.12174747812
2011,"August","NH4-N",0.04809417102
2011,"August","NO3-N",0.07366827532
2011,"August","SO4-S",0.04374242712
2011,"August","cations",0.04607052
2011,"July","Inorganic N",0.3855184695
2011,"July","NH4-N",0.18262109854422
2011,"July","NO3-N",0.20258243692728
2011,"July","SO4-S",0.17169131016
2011,"July","cations",0.28767405
2011,"June","Inorganic N",0.1492037656
2011,"June","NH4-N",0.0711281093691
2011,"June","NO3-N",0.078196848178
2011,"June","SO4-S",0.08201831958
2011,"June","cations",0.14535404
2012,"August","Inorganic N",0.11702929096
2012,"August","NH4-N",0.05785747128
2012,"August","NO3-N",0.05916458068
2012,"August","SO4-S",0.03320181828
2012,"August","cations",0.06030468
2012,"July","Inorganic N",0.49356634332
2012,"July","NH4-N",0.25831793904
2012,"July","NO3-N",0.23519107648
2012,"July","SO4-S",0.15405257988
2012,"July","cations",0.18582132
2012,"June","Inorganic N",0.06677606914
2012,"June","NH4-N",0.0339336950484
2012,"June","NO3-N",0.0322637287668
2012,"June","SO4-S",0
2012,"June","cations",0
2013,"August","Inorganic N",0.2357666227
2013,"August","NH4-N",0.15148030141776
2013,"August","NO3-N",0.0840478829072
2013,"August","SO4-S",0.07065811116
2013,"August","cations",0.0784606
2013,"July","Inorganic N",0.36925808546
2013,"July","NH4-N",0.21497417508
2013,"July","NO3-N",0.15420092096
2013,"July","SO4-S",0.09569861226
2013,"July","cations",0.15394432
2013,"June","Inorganic N",0.10078611796
2013,"June","NH4-N",0.0629435053548
2013,"June","NO3-N",0.037755931092
2013,"June","SO4-S",0.0264544302
2013,"June","cations",0.06839712
2014,"August","Inorganic N",0.232132734616
2014,"August","NH4-N",0.113184813
2014,"August","NO3-N",0.11893649568
2014,"August","SO4-S",0.074685906
2014,"August","cations",0.09759696
2014,"July","Inorganic N",0.29642240436
2014,"July","NH4-N",0.1741224801897
2014,"July","NO3-N",0.1211846745466
2014,"July","SO4-S",0.06321997008
2014,"July","cations",0.17287113
2014,"June","Inorganic N",0.1277841361
2014,"June","NH4-N",0.06811593684126
2014,"June","NO3-N",0.0585475508244
2014,"June","SO4-S",0
2014,"June","cations",0
2015,"August","Inorganic N",0.16308556156
2015,"August","NH4-N",0.08700794652732
2015,"August","NO3-N",0.0760840422944
2015,"August","SO4-S",0.04160419416
2015,"August","cations",0.0665988
2015,"July","Inorganic N",0.13060101388
2015,"July","NH4-N",0.06019616358
2015,"July","NO3-N",0.07040485792
2015,"July","SO4-S",0.04799774754
2015,"July","cations",0.06260338
2015,"June","Inorganic N",0.12506821824
2015,"June","NH4-N",0.063810084597
2015,"June","NO3-N",0.0612632594392
2015,"June","SO4-S",0.0385651629
2015,"June","cations",0.07267956
2016,"August","Inorganic N",0.23245941316
2016,"August","NH4-N",0.13416988914
2016,"August","NO3-N",0.09823948348
2016,"August","SO4-S",0.05915157588
2016,"August","cations",0.15815564
2016,"July","Inorganic N",0.1390624346
2016,"July","NH4-N",0.0755976661272
2016,"July","NO3-N",0.063411386004
2016,"July","SO4-S",0.03509264889
2016,"July","cations",0.08068945
2016,"June","Inorganic N",0.115736243
2016,"June","NH4-N",0.06337641802212
2016,"June","NO3-N",0.0522881325584
2016,"June","SO4-S",0.0388146798
2016,"June","cations",0.11081258
2017,"August","Inorganic N",0.47119394712
2017,"August","NH4-N",0.30970206792
2017,"August","NO3-N",0.16132016504
2017,"August","SO4-S",0.12069343908
2017,"August","cations",0.2556764
2017,"July","Inorganic N",0.31792377233
2017,"July","NH4-N",0.19633241435115
2017,"July","NO3-N",0.1213056419958
2017,"July","SO4-S",0.04726611324
2017,"July","cations",0.07701026
2017,"June","Inorganic N",0.03764579212
2017,"June","NH4-N",0.02190122776464
2017,"June","NO3-N",0.0155065482604
2017,"June","SO4-S",0.00291215826
2017,"June","cations",0.00955548
2018,"August","Inorganic N",0.2523736253
2018,"August","NH4-N",0.15770285706
2018,"August","NO3-N",0.09459375544
2018,"August","SO4-S",0.05930213184
2018,"August","cations",0.13100304
2018,"July","Inorganic N",0.32001868686
2018,"July","NH4-N",0.197367670542
2018,"July","NO3-N",0.12174346689612
2018,"July","SO4-S",0.05659889112
2018,"July","cations",0.13884656
2018,"June","Inorganic N",0.07113066292
2018,"June","NH4-N",0.0402645055008
2018,"June","NO3-N",0.030329288592
2018,"June","SO4-S",0.00952900812
2018,"June","cations",0.04783836
2019,"August","Inorganic N",0.195867358
2019,"August","NH4-N",0.113818597914
