siteId,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,svol,ppt,subppt,valcode,invalcode,modifiedOn
CO98,NC3572OW,5/1/84 17:30,5/8/84 17:30,198405,5.62,2.3, ,0.06, ,0.019, ,0.005, ,0.02, ,0.06, ,0.22, ,0.1, ,0.31,1264.5,52.58,52.58,w ,            ,2/1/85
CO98,NC3641OW,5/8/84 17:30,5/15/84 17:30,198405,5.19,24.7, ,1.34, ,0.234, ,0.082, ,0.43, ,0.84, ,3.77, ,0.34, ,4.01,130.2,1.78,1.78,w ,            ,2/1/85
CO98,NC3751OW,5/15/84 17:30,5/22/84 17:30,198405,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,88.2,2.29,2.29,  ,c           ,2/1/85
CO98,NC3924OW,5/22/84 17:30,5/29/84 17:30,198405,5.57,5.9, ,0.29, ,0.046, ,0.048, ,0.067, ,0.16, ,0.82, ,0.12, ,0.74,1999.2,29.46,29.46,w ,            ,3/14/85
CO98,NC4033OW,5/29/84 17:30,6/5/84 17:30,198406,5.27,8.3, ,0.34, ,0.103, ,0.049, ,0.059, ,0.28, ,0.77, ,0.13, ,1.2,1624.9,25.15,25.15,w ,            ,3/14/85
CO98,NC4261OW,6/5/84 17:30,6/12/84 17:00,198406,5.23,3.9, ,0.06, ,0.01, ,0.014, ,0.026, ,0.08, ,0.33, ,0.09, ,0.36,2744.8,60.96,60.96,w ,            ,3/14/85
CO98,NC4382OW,6/12/84 17:00,6/19/84 17:00,198406,4.79,13.2, ,0.3, ,0.052, ,0.054, ,0.094, ,0.22, ,1.11, ,0.19, ,1.74,667.2,9.91,9.91,w ,            ,3/14/85
CO98,NC4591OW,6/19/84 17:00,6/26/84 16:00,198406,5.05,10.7, ,0.44, ,0.069, ,0.128, ,0.113, ,0.13, ,1.12, ,0.18, ,1.3,253.3,1.02,1.02,w ,            ,3/14/85
CO98,NC4729OW,6/26/84 16:00,7/3/84 17:00,198406,4.99,8.5, ,0.12, ,0.031, ,0.061, ,0.024,<,0.02, ,0.67, ,0.1, ,0.81,978.7,13.97,13.97,w ,            ,3/14/85
CO98,NC5040OW,7/3/84 17:00,7/10/84 17:00,198407,4.86,9.8, ,0.25, ,0.037, ,0.06, ,0.036, ,0.13, ,0.86, ,0.11, ,1.04,1289.6,19.05,19.05,w ,            ,3/14/85
CO98,NC5102OW,7/10/84 17:00,7/17/84 17:00,198407,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,517.5,11.94,11.94,  ,c           ,3/14/85
CO98,NC5306OW,7/17/84 17:00,7/24/84 17:00,198407,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,2263.2,38.61,38.61,  ,c           ,4/4/85
CO98,NC5522OW,7/24/84 17:00,7/31/84 17:00,198407,4.81,8.6, ,0.05, ,0.011, ,0.017, ,0.021, ,0.12, ,0.73, ,0.11, ,0.69,2757.3,40.13,40.13,w ,            ,4/4/85
CO98,NC5514OW,7/31/84 17:00,8/7/84 17:00,198408,4.92,7.7, ,0.08, ,0.016, ,0.02, ,0.027, ,0.17, ,0.82, ,0.09, ,0.65,1055.7,12.95,12.95,w ,            ,4/4/85
CO98,NC5653OW,8/7/84 17:00,8/14/84 17:00,198408,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,136,8.64,8.64,  ,c           ,4/4/85
CO98,NC5816OW,8/14/84 17:00,8/21/84 16:30,198408,4.77,8.7, ,0.06, ,0.02, ,0.013, ,0.039, ,0.1, ,0.88, ,0.11, ,0.65,1779.4,24.89,24.89,w ,            ,9/25/86
CO98,NC6230OW,8/21/84 16:30,8/28/84 17:15,198408,4.88,6.7, ,0.04, ,0.011, ,0.016, ,0.022, ,0.03, ,0.49, ,0.06, ,0.46,1298.9,24.64,24.64,w ,            ,9/25/86
CO98,NC6268OW,8/28/84 17:15,9/4/84 17:00,198408,4.86,8.8, ,0.15, ,0.024, ,0.014, ,0.026, ,0.1, ,0.79, ,0.07, ,0.84,2326.3,34.8,34.8,w ,            ,4/4/85
CO98,NC6427OW,9/4/84 17:00,9/11/84 17:00,198409,-9,-9, ,-9, ,-9, ,-9, ,-9,<,-9, ,-9, ,-9, ,-9,448.3,14.22,14.22,  ,c           ,4/4/85
CO98,NC6640OW,9/11/84 17:00,9/18/84 17:00,198409,4.83,9.2, ,0.12, ,0.02, ,0.012, ,0.04, ,0.12, ,0.79, ,0.08, ,0.87,1610.4,26.92,26.92,w ,            ,4/4/85
CO98,NC6838OW,9/18/84 17:00,9/25/84 17:00,198409,5.79,7.4, ,0.62, ,0.06, ,0.033, ,0.058, ,0.19, ,0.91, ,0.11, ,1.25,1386.9,-9.99,20.428,w ,            ,6/28/85
CO98,NC7437OW,9/25/84 17:00,10/2/84 17:00,198409,4.86,12, ,0.28, ,0.061, ,0.026, ,0.135, ,0.25, ,1.22, ,0.26, ,1.06,522.3,-9.99,7.693,w ,            ,6/28/85
CO98,NC7460OW,10/2/84 17:00,10/9/84 17:00,198410,5,6.7, ,0.06, ,0.006, ,0.004, ,0.017, ,0.18, ,0.61, ,0.04, ,0.61,3118,46.48,46.48,w ,            ,6/28/85
CO98,NC7472OW,10/9/84 17:00,10/16/84 19:45,198410,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,2187.9,57.15,57.15,  ,f           ,6/28/85
CO98,NC7445OW,10/16/84 19:45,10/23/84 17:00,198410,4.99,6.3, ,0.07, ,0.021, ,0.014, ,0.04,<,0.02, ,0.57, ,0.05, ,0.42,827.5,35.81,35.81,w ,            ,6/28/85
CO98,NC7634OW,10/23/84 17:00,10/30/84 18:00,198410,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,-9,19.56,19.56,  ,v           ,6/28/85
CO98,NC7808OW,10/30/84 18:00,11/6/84 18:00,198411,-9,-9, ,-9, ,-9, ,-9, ,-9,<,-9, ,-9, ,-9, ,-9,0,9.65,9.65,  ,vc          ,6/28/85
CO98,NC7970OW,11/6/84 18:00,11/13/84 18:00,198411,5.21,10.4, ,0.38, ,0.137, ,0.035, ,0.42, ,0.07, ,1.28, ,0.31, ,1.38,78.5,10.92,10.92,w ,            ,6/28/85
CO98,NC8249OW,11/13/84 18:00,11/20/84 18:00,198411,5.41,13.6, ,0.76, ,0.173, ,0.165, ,0.411, ,0.13, ,2.04, ,0.38, ,1.83,67.7,6.1,6.1,w ,            ,6/28/85
CO98,NC8423OW,11/20/84 18:00,11/27/84 18:00,198411,6.5,25, ,0.77, ,0.406, ,0.158, ,1.404,<,0.14, ,1.58, ,0.83, ,2.27,13.9,4.57,4.57,wa,            ,6/28/85
CO98,NC8535OW,11/27/84 18:00,12/4/84 18:00,198411,5.76,5.4, ,0.23, ,0.101, ,0.025, ,0.221, ,0.03, ,0.47, ,0.16, ,0.76,230.3,24.13,24.13,w ,            ,6/28/85
CO98,NC8670OW,12/4/84 18:00,12/11/84 18:00,198412,6.07,12.5, ,0.67, ,0.288, ,0.068, ,0.565,<,0.02, ,0.67, ,0.36, ,1.93,46.7,8.38,8.38,w ,            ,6/28/85
CO98,NC8830OW,12/11/84 18:00,12/18/84 18:00,198412,5.22,4.3, ,0.04, ,0.013, ,0.006, ,0.023,<,0.02, ,0.32,<,0.02, ,0.32,830.2,42.42,42.42,w ,            ,6/28/85
CO98,NC9082OW,12/18/84 18:00,12/26/84 18:00,198412,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,2.9,12.95,12.95,  ,v           ,10/13/88
CO98,NC9081OW,12/26/84 18:00,1/2/85 18:00,198412,-9,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9, ,-9,5.9,14.73,14.73,  ,v           ,10/13/88
CO98,NC9370OW,1/2/85 18:00,1/8/85 19:00,198501,6.65,16.5, ,0.84, ,0.445, ,0.097, ,0.85,<,0.07, ,0.9, ,0.7, ,1.54,31,7.37,7.37,wa,            ,10/13/88
